topic,word,prop
1,survivor,0.0025549146812409163
1,interview,0.0024708586279302835
1,archiv,0.002317416947335005
1,arrang,0.002072442090138793
1,happen,0.002072390168905258
1,jew,0.0020723433699458838
1,valor,0.002072317758575082
1,charact,0.0020670448429882526
1,collect,0.0020180055871605873
1,holocaust,0.001978356624022126
1,social,0.001915280008688569
1,testimoni,0.001883974764496088
1,onlin,0.0018790151225402951
1,venic,0.0018364076968282461
1,surviv,0.001823687576688826
1,organ,0.0017604497261345387
1,niod,0.0017383809899911284
1,netwerk,0.0017383699305355549
1,netherland,0.0017383351223543286
1,oorlogsbronnen,0.0017383205704391003
1,axi,0.0017383192898705602
1,state,0.0016986150294542313
1,illustr,0.0016983853420242667
1,preserv,0.0016983280656859279
1,persecut,0.0016960717039182782
1,physic,0.001620279741473496
1,hoover,0.0016202629776671529
1,verb,0.001620252151042223
1,protagonist,0.0016202378319576383
1,adject,0.0016202182741835713
2,metaphor,0.0028675307985395193
2,skill,0.0024846713058650494
2,model,0.0023879525251686573
2,comput,0.0023317509330809116
2,literari,0.0023293679114431143
2,book,0.002268267795443535
2,note,0.002266662660986185
2,roud,0.0022666307631880045
2,genet,0.002237931126728654
2,relationship,0.0021971703972667456
2,structur,0.0020404933020472527
2,project,0.0020045097917318344
2,word,0.001993257785215974
2,process,0.0019885017536580563
2,trullo,0.0019554903265088797
2,write,0.0019535862375050783
2,identifi,0.0019133837195113301
2,articl,0.0018638535402715206
2,other,0.001846512546762824
2,take,0.001829896355047822
2,import,0.0018107837531715631
2,multipl,0.0017694095149636269
2,gustav,0.0017146924510598183
2,diari,0.0017146639293059707
2,student,0.0017132547218352556
2,poeti,0.0016865477664396167
2,first,0.0016772272065281868
2,ontolog,0.001666707219555974
2,figur,0.00163531384896487
2,text,0.0016333396779373288
3,blockchain,0.0034899197053164244
3,victim,0.0031943372450768948
3,ehri,0.003062355797737837
3,navig,0.002873219782486558
3,research,0.00284939119592309
3,holocaust,0.0028448980301618576
3,archiv,0.002499557798728347
3,human,0.0024402900598943233
3,shoah,0.0023299071472138166
3,requir,0.0022839622106403112
3,data,0.002274763770401478
3,databas,0.0022634388878941536
3,judaicalink,0.00226061069406569
3,share,0.0022363292519003153
3,integr,0.0021018111146986485
3,technolog,0.0020903784316033125
3,order,0.0020659142173826694
3,contamin,0.002050393959507346
3,suitabl,0.0020456265192478895
3,hyperledg,0.0020455687772482634
3,portal,0.0020196023397147655
3,communiti,0.002009778283536434
3,vashem,0.0019978603813797235
3,work,0.0019917667377740145
3,scenario,0.0019729428458958864
3,possibl,0.0019566367845982313
3,heritag,0.0019495583837851882
3,inform,0.0018840217962861061
3,comparison,0.0018668080447241664
3,resourc,0.001862617558799684
4,read,0.0049940431490540504
4,dant,0.003019985044375062
4,knowledg,0.002827725373208523
4,dantesourc,0.002693740651011467
4,extract,0.00243892939761281
4,primari,0.002426339080557227
4,italian,0.0023609509225934744
4,repres,0.002220848808065057
4,workshop,0.002120785880833864
4,alighieri,0.0020087622106075287
4,literatur,0.0019743493758141994
4,distant,0.001973226433619857
4,annot,0.00196403032168746
4,develop,0.0019617893267422915
4,work,0.0019234715728089213
4,librari,0.001897050067782402
4,edit,0.0018866235623136163
4,start,0.0018808009335771203
4,servic,0.001838587922975421
4,philolog,0.001828955253586173
4,voic,0.001827651052735746
4,observ,0.001827556174248457
4,bellini,0.001820914912968874
4,letter,0.0018208847614005208
4,techno,0.00181925343349576
4,method,0.001791796530596912
4,studi,0.0017415201291441917
4,alway,0.0017068262677639723
4,poetri,0.0017059013480320573
4,poet,0.001705744070932269
5,visual,0.0032313112169504166
5,confer,0.0027466744650155306
5,formal,0.002610418712720275
5,scienc,0.0024951223749667406
5,line,0.0024626394733786583
5,oral,0.0024000981356948614
5,terminolog,0.0023312829434871674
5,encod,0.0022957096807658672
5,balanc,0.0022533631417900324
5,document,0.0022171619348227978
5,gender,0.002183115342631936
5,model,0.0021302385721355677
5,introduct,0.0021115352865308523
5,relationship,0.002109177177771926
5,german,0.002065804786980152
5,literari,0.0020557574462145567
5,analysi,0.0019961774814873934
5,corpora,0.001975032966583967
5,would,0.001926387776620686
5,cross,0.0019236347870901227
5,foster,0.0019186154240742326
5,name,0.0019021125044673681
5,give,0.0018902065930888057
5,benefit,0.0018809614703059196
5,practic,0.0018748140428215265
5,ontolog,0.0018728433642536402
5,workshop,0.0018428327748551965
5,propos,0.0018091918900609016
5,preliminari,0.001807813299819827
5,place,0.0017996177775785327
